,name,steam_id,developers,reviews,positives,is_free,units_sold,prices_eu,final_revenue,genre
434000,Paws,434000,Might and Delight,303,273,False,9090,14.99,136259.1,"Adventure, Casual, Indie"
502770,Voodoo Garden,502770,M. Hanka,303,236,False,9090,2.99,27179.100000000002,"Casual, Indie, Simulation"
500260,Ben and Ed - Blood Party,500260,Sluggerfly,300,247,False,9000,14.99,134910.0,"Action, Indie"
451650,Whirligig VR Media Player,451650,Philip Day,299,237,False,8970,3.99,35790.3,"Utilities, Video Production, Early Access"
1182110,Weed Shop 3,1182110,Weed Games,297,267,False,8910,16.79,149598.9,"Casual, Indie, Simulation, Early Access"
489460,The Last Leviathan,489460,Super Punk Games,293,194,False,8790,9.99,87812.1,"Action, Adventure, Indie, Simulation, Strategy, Early Access"
463210,State of Anarchy,463210,Lapovich,292,240,False,8760,0.79,6920.400000000001,"Action, Casual, Indie, Simulation"
428880,The Quest,428880,Redshift,291,255,False,8730,9.99,87212.7,"Adventure, Indie, RPG"
431650,Phoning Home,431650,ION LANDS,290,192,False,8700,9.99,86913.0,"Action, Adventure, Indie"
460700,Song of the Deep,460700,Insomniac Games,290,239,False,8700,14.99,130413.0,Adventure
1160490,Master Of Pottery,1160490,AZGames,290,286,False,8700,4.99,43413.0,"Casual, Indie, Simulation, Early Access"
448780,Sixtieth Kilometer,448780,Talentplace,289,218,False,8670,0.9,7803.0,"Adventure, Casual, Indie"
1144250,WAIFU HELL,1144250,Konnichiwa Games,289,234,False,8670,0.79,6849.3,"Action, Indie"
469720,Monsters' Den: Godfall,469720,Monstrum,288,249,False,8640,14.99,129513.6,"Adventure, Indie, RPG, Strategy"
1146370,Master of Magic Classic,1146370,SimTex,287,280,False,8610,4.99,42963.9,Strategy
448240,Hybrid Animals,448240,FamishedMammal,287,165,False,8610,6.99,60183.9,"Action, Casual, Indie, Simulation"
493720,Haven Moon,493720,Francois Roussel,286,223,False,8580,8.19,70270.2,"Adventure, Casual, Indie"
472870,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,472870,07th Expansion,285,282,False,8550,7.99,68314.5,Adventure
446560,Just Dance 2017,446560,"Ubisoft Paris,Ubisoft Pune",284,203,False,8520,49.99,425914.8,Casual
1168880,MOLEK-SYNTEZ,1168880,Zachtronics,283,260,False,8490,8.19,69533.09999999999,"Indie, Simulation"
441050,Polandball: Can into Space!,441050,Alien Pixel Studios,282,263,False,8460,2.99,25295.4,"Casual, Indie, RPG"
429780,Bunny Hop League,429780,PolyDigital,279,198,False,8370,5.99,50136.3,"Indie, Sports"
461700,Seduce Me 2: The Demon War,461700,Michaela Laws,278,262,False,8340,9.99,83316.6,"Adventure, Casual, Indie, RPG, Simulation"
454250,The Eyes of Ara,454250,100 Stones Interactive,277,232,False,8310,12.49,103791.90000000001,"Adventure, Indie"
437250,A House of Many Doors,437250,Pixel Trickery,277,231,False,8310,10.99,91326.90000000001,"Indie, RPG"
1162680,Stigmatized Property | 事故物件,1162680,Chilla's Art,275,227,False,8250,2.39,19717.5,"Action, Adventure, Casual, Indie, Simulation, Strategy"
1184480,Inertial Drift,1184480,Level 91 Entertainment,275,256,False,8250,19.99,164917.5,"Indie, Racing"
706560,Jimmy and the Pulsating Mass,706560,Kasey Ozymy,272,255,False,8160,14.99,122318.40000000001,"Indie, RPG"
1173790,FINAL FANTASY III,1173790,Square Enix,270,257,False,8100,17.99,145719.0,RPG
482450,Nitroplus Blasterz: Heroines Infinite Duel,482450,EXAMU,269,240,False,8070,19.99,161319.3,Action
446390,Onechanbara Z2: Chaos,446390,Tamsoft,269,194,False,8070,36.99,298509.3,Action
465200,Fury Unleashed,465200,Awesome Games Studio,266,248,False,7980,19.99,159520.19999999998,"Action, Adventure, Indie, RPG"
